2024-05-07 21:38:02,601 INFO    StreamThr :66339 [internal.py:wandb_internal():86] W&B internal server running at pid: 66339, started at: 2024-05-07 21:38:02.600840
2024-05-07 21:38:02,601 DEBUG   HandlerThread:66339 [handler.py:handle_request():146] handle_request: status
2024-05-07 21:38:02,602 INFO    WriterThread:66339 [datastore.py:open_for_write():87] open: /Users/angelo/Desktop/Python/HLT-Sentiment-Analysis/Code/wandb/run-20240507_213802-8s888bfo/run-8s888bfo.wandb
2024-05-07 21:38:02,603 DEBUG   SenderThread:66339 [sender.py:send():379] send: header
2024-05-07 21:38:02,617 DEBUG   SenderThread:66339 [sender.py:send():379] send: run
2024-05-07 21:38:03,138 INFO    SenderThread:66339 [dir_watcher.py:__init__():211] watching files in: /Users/angelo/Desktop/Python/HLT-Sentiment-Analysis/Code/wandb/run-20240507_213802-8s888bfo/files
2024-05-07 21:38:03,138 INFO    SenderThread:66339 [sender.py:_start_run_threads():1124] run started: 8s888bfo with start time 1715110682.601254
2024-05-07 21:38:03,143 DEBUG   HandlerThread:66339 [handler.py:handle_request():146] handle_request: check_version
2024-05-07 21:38:03,144 DEBUG   SenderThread:66339 [sender.py:send_request():406] send_request: check_version
2024-05-07 21:38:03,235 DEBUG   HandlerThread:66339 [handler.py:handle_request():146] handle_request: run_start
2024-05-07 21:38:03,243 DEBUG   HandlerThread:66339 [system_info.py:__init__():26] System info init
2024-05-07 21:38:03,244 DEBUG   HandlerThread:66339 [system_info.py:__init__():41] System info init done
2024-05-07 21:38:03,244 INFO    HandlerThread:66339 [system_monitor.py:start():194] Starting system monitor
2024-05-07 21:38:03,244 INFO    SystemMonitor:66339 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-07 21:38:03,244 INFO    HandlerThread:66339 [system_monitor.py:probe():214] Collecting system info
2024-05-07 21:38:03,245 DEBUG   HandlerThread:66339 [system_info.py:probe():150] Probing system
2024-05-07 21:38:03,245 INFO    SystemMonitor:66339 [interfaces.py:start():190] Started cpu monitoring
2024-05-07 21:38:03,245 INFO    SystemMonitor:66339 [interfaces.py:start():190] Started disk monitoring
2024-05-07 21:38:03,247 INFO    SystemMonitor:66339 [interfaces.py:start():190] Started gpuapple monitoring
2024-05-07 21:38:03,250 INFO    SystemMonitor:66339 [interfaces.py:start():190] Started memory monitoring
2024-05-07 21:38:03,251 INFO    SystemMonitor:66339 [interfaces.py:start():190] Started network monitoring
2024-05-07 21:38:03,256 DEBUG   HandlerThread:66339 [system_info.py:_probe_git():135] Probing git
2024-05-07 21:38:03,287 DEBUG   HandlerThread:66339 [system_info.py:_probe_git():143] Probing git done
2024-05-07 21:38:03,287 DEBUG   HandlerThread:66339 [system_info.py:probe():198] Probing system done
2024-05-07 21:38:03,288 DEBUG   HandlerThread:66339 [system_monitor.py:probe():223] {'os': 'macOS-14.4.1-arm64-arm-64bit', 'python': '3.11.3', 'heartbeatAt': '2024-05-07T19:38:03.245437', 'startedAt': '2024-05-07T19:38:02.598276', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/Users/angelo/Desktop/Python/HLT-Sentiment-Analysis/Code/training.py', 'codePathLocal': 'training.py', 'codePath': 'Code/training.py', 'git': {'remote': 'git@github.com:Angelido/HLT-Sentiment-Analysis.git', 'commit': '8ad7dfaa8b7d48f014d1ae4db78064fcc5941461'}, 'email': 'a.nardone5@studenti.unipi.it', 'root': '/Users/angelo/Desktop/Python/HLT-Sentiment-Analysis', 'host': 'MBP-di-Angelo.station', 'username': 'angelo', 'executable': '/usr/local/bin/python3', 'cpu_count': 10, 'cpu_count_logical': 10, 'disk': {'/': {'total': 460.4317207336426, 'used': 9.541603088378906}}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 16.0}}
2024-05-07 21:38:03,288 INFO    HandlerThread:66339 [system_monitor.py:probe():224] Finished collecting system info
2024-05-07 21:38:03,288 INFO    HandlerThread:66339 [system_monitor.py:probe():227] Publishing system info
2024-05-07 21:38:03,289 INFO    HandlerThread:66339 [system_monitor.py:probe():229] Finished publishing system info
2024-05-07 21:38:03,295 DEBUG   SenderThread:66339 [sender.py:send():379] send: files
2024-05-07 21:38:03,295 INFO    SenderThread:66339 [sender.py:_save_file():1390] saving file wandb-metadata.json with policy now
2024-05-07 21:38:03,386 DEBUG   HandlerThread:66339 [handler.py:handle_request():146] handle_request: python_packages
2024-05-07 21:38:03,386 DEBUG   SenderThread:66339 [sender.py:send_request():406] send_request: python_packages
2024-05-07 21:38:03,387 DEBUG   HandlerThread:66339 [handler.py:handle_request():146] handle_request: stop_status
